"Page path","Percent of page loads","Page loads","CLS P75","CLS distribution"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nL3dvcmstdXAtYS1zd2VhdC13aXRoLXRoaXMtc2hhZG93Ym94aW5nLWhvbWUtd29ya291dA%2C%2C/",0,1,0.01,"[1,1,0,0]"
"/blogs/foot-health-podiatry/it-band-syndrome-explained",0,6,0.03,"[2,2,0,0]"
"/blogs/company-news/2024-superfeet-impact-report",0,5,0,"[2,2,0,0]"
"/collections/discount-eligable",0,30,0.06,"[19,19,0,0]"
"/en-gb/news/sick-day-survival",0,1,0.03,"[1,1,0,0]"
"/ee/images/uploads/b2b/13SF-ProductBroch-FINAL_V2_lowrez.pdf",0,1,0.02,"[1,1,0,0]"
"/rx/blogs/foot-health-podiatry",0,2,0.03,"[2,2,0,0]"
"/blogs/national-parks/backpacking-in-shenandoah-national-park-an-insider-s-guide",0,6,0.03,"[2,2,0,0]"
"/blogs/running/running-for-boxing-a-boxers-running-routine-explained",0,27,0,"[16,16,0,0]"
"/dealers_usa/dealer/dashboard",0,1,0.03,"[1,1,0,0]"
"/pages/phase-2-hidden-test-page",0,1,0.02,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nL3BsYW50YXItZmFzY2lpdGlzLWV4cGxhaW5lZA%2C%2C/",0,1,0.23,"[1,0,1,0]"
"/products/raquet-performance",0,1,0.03,"[1,1,0,0]"
"/blogs/hiking-outdoor/5-gorgeous-waterfall-hikes-around-portland",0,1,0,"[0,0,0,0]"
"/blogs/company-news/news-and-reviews-what-people-are-saying-about-superfeet",0,6,0,"[6,6,0,0]"
"/en-eu/news/6-running-recovery-tips-to-keep-you-healthy",0,1,0,"[1,1,0,0]"
"/blogs/company-news/meet-the-2024-superfeet-local-grant-recipients",0,1,0,"[0,0,0,0]"
"/blogs/company-news/the-best-day-hikes-around-san-francisco-7-local-favorites",0,1,0,"[0,0,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9iZXJyeQ%2C%2C/",0,1,0.01,"[1,1,0,0]"
"/blogs/foot-health-podiatry/bunions-explained",0,10,0.1,"[7,5,1,1]"
"/en-gb/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1nYi9ibG9nL29yaWdpbnMtb2Ytb3J0aG90aWMtaW5zb2xlcw%2C%2C/",0,1,0.24,"[1,0,1,0]"
"/products/all-purpose-support-carbon",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/orange",0,1,0.05,"[1,1,0,0]"
"/en-gb/blog/trail-running-in-salt-lake-when-spring-comes-early",0,1,0.16,"[1,0,1,0]"
"/blogs/foot-health-podiatry/origins-of-orthotic-insoles",0,8,0.02,"[6,6,0,0]"
"/blogs/health-wellness/structured-heel-cup-a-foot-comfort-gamechanger",0,20,0.01,"[11,11,0,0]"
"/blogs/company-news/7-beautiful-backpacking-getaways-near-chattanooga",0,1,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/green",0,4,0,"[1,1,0,0]"
"/blogs/company-news/are-soft-or-firm-insoles-better-for-me",0,14,0,"[7,7,0,0]"
"/blogs/national-parks/trail-running-in-yosemite-national-park-an-insider-s-guide",0,2,0.07,"[1,1,0,0]"
"/blogs/company-news/a-slice-of-heaven-for-central-florida-runners",0,4,0,"[2,2,0,0]"
"/products/run-support-high-arch",0,12,0.09,"[3,2,1,0]"
"/blogs/national-parks/trail-running-in-rocky-mountain-national-park-an-insider-s-guide",0,1,0,"[1,1,0,0]"
"/pages/become-an-ambassador",0,4,0.05,"[3,3,0,0]"
"/blogs/national-parks/trail-running-in-shenandoah-national-park-an-insider-s-guide",0,2,0,"[0,0,0,0]"
"/blogs/running/foot-stretches-and-exercises-for-your-running-routine",0,1,0,"[1,1,0,0]"
"/blogs/foot-health-podiatry/tailors-bunion-relief-and-prevention-tips-with-superfeet-insoles",0,20,0,"[11,11,0,0]"
"/checkwsjouts/cn/hWN3nkkZhhExOEI2V8odtgQL/en-us/thank-you",0,1,0.03,"[1,1,0,0]"
"/blogs/foot-health-podiatry/heel-spurs-explained",0,5,0,"[5,5,0,0]"
"/en/products/run-support-low-arch",0,2,0,"[0,0,0,0]"
"/en-us/catalogsearch/result/",0,1,0,"[0,0,0,0]"
"/blogs/company-news/welcome-to-the-future-of-superfeet",0,10,0.01,"[8,8,0,0]"
"/blogs/foot-health-podiatry/peroneal-tendonitis-explained",0,6,0,"[1,1,0,0]"
"/en-ca/blog/superfeet-celebrates-pride-with-community-partners",0,1,0,"[1,1,0,0]"
"/pages/healthcare-professionals/",0,8,0.02,"[3,3,0,0]"
"/en-eu/news/how-to-avoid-warm-weather-flip-flop-failures",0,1,0,"[1,1,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9hbWJhc3NhZG9yLWFwcGxpY2F0aW9u/",0,1,0.04,"[1,1,0,0]"
"/blogs/hiking-outdoor/how-to-make-your-shoes-more-comfortable-with-superfeet-insoles",0,8,0,"[3,3,0,0]"
"/blogs/foot-health-podiatry/hammer-toes-explained",0,1,0,"[0,0,0,0]"
"/pages/ccpa-privacy-policy",0,4,0.02,"[3,3,0,0]"
"/pages/b2b-personalized-fit",0,2,0.05,"[2,2,0,0]"
"/blogs/foot-health-podiatry/how-to-prevent-and-treat-pain-from-high-arch-feet",0,2,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/black",0,3,0.03,"[1,1,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nLzEwLW9mLXRoZS1iZXN0LXJ1bm5pbmctc29uZ3Mtb2YtYWxsLXRpbWU%2C/",0,1,0.03,"[1,1,0,0]"
"/en-us/adapt-run-max-insoles",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzMtc21hbGwtdG93bi1lc2NhcGVzLW5lYXItbmV3LXlvcmstY2l0eS10aGF0LWFyZS1wZXJmZWN0LWZvci1yb2FkLXJ1bm5pbmc%2C/",0,1,0.24,"[1,0,1,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9uYXRpb25hbC1wYXJrcy9vbHltcGljL3dlZWtlbmQtZ3VpZGU%2C/",0,1,0.01,"[1,1,0,0]"
"/en-us/news/running-motivation-how-to-love-running",0,1,0.03,"[1,1,0,0]"
"/en-au/pages/national-parks",0,1,0.04,"[1,1,0,0]"
"/pages/u-s-shipping-policy",0,11,0.01,"[3,3,0,0]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3RoZS0xMC1iZXN0LWhpa2VzLWZvci13aW50ZXItc3Rvcm0td2F0Y2hpbmc%2C/",0,1,0.01,"[1,1,0,0]"
"/policies/shipping-policy",0,14,0,"[4,4,0,0]"
"/blogs/hiking-outdoor/exploring-yellowstone-national-park-in-winter",0,1,0.01,"[1,1,0,0]"
"/blogs/company-news/introducing-new-superfeet-product-names-and-packaging",0,24,0.01,"[12,10,1,1]"
"/blogs/foot-health-podiatry/strengthen-chronic-ankle-instability-with-superfeet-insoles",0,5,0,"[3,3,0,0]"
"/en-eu/insoles-and-sandals",0,1,0.04,"[1,1,0,0]"
"/pages/international-distributors",0,9,0.06,"[6,6,0,0]"
"/blogs/foot-health-podiatry/tarsal-tunnel-syndrome-find-relief-with-superfeet-insoles",0,6,0,"[1,1,0,0]"
"/blogs/company-news/celebrating-international-womens-day",0,1,0,"[0,0,0,0]"
"/blogs/foot-health-podiatry/work-on-your-feet-discover-the-best-insoles-for-long-shifts",0,2,0.01,"[1,1,0,0]"
"/blogs/company-news/superfeet-celebrates-new-direction",0,1,0,"[1,1,0,0]"
