"Discount name","Discount method","Discount type","Discount class","Applied discounts","Product and order discounts from apps","Shipping discounts from apps","Discounted orders","Gross sales","Returns","Net sales","Shipping charges","Taxes","Total sales"
"GXM-5556-4510","discount_code","percentage","product",-25.99,0,0,1,129.98,0,103.99,0,7.95,111.94
"GMX-1802-4064-3024","discount_code","percentage","product",-25.99,0,0,1,129.98,0,103.99,0,6.24,110.23
"WorkRightNW2022","discount_code","percentage","product",-18.73,0,0,2,124.98,0,106.25,0,3.32,109.57
"GX-MN0AUQ2SA3","discount_code","percentage","product",-25.98,0,0,1,129.98,0,104,0,5.52,109.52
"APM72DCJD1EX","discount_code","percentage","product",-24.98,0,0,2,124.98,0,100,0,9.17,109.17
"GX-EE6QWEQGIZ","discount_code","percentage","product",-24.98,0,0,1,124.98,0,100,0,9,109
"GX-TSGSYDZNW9","discount_code","percentage","product",-24.98,0,0,1,124.98,0,100,0,6,106
"GMX-9275-0026-5836","discount_code","percentage","product",-24.99,0,0,1,124.98,0,99.99,0,6,105.99
"GX-XA1E86UYBD","discount_code","percentage","product",-23.98,0,0,1,119.98,0,96,0,9.84,105.84
"GX-WQE7HU3RHE","discount_code","percentage","product",-23.98,0,0,1,119.98,0,96,0,8.4,104.4
"GX-YBUN83OBPE","discount_code","percentage","product",-24.98,0,0,1,124.98,0,100,0,4,104
"GMX-3678-7248-2538","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,7.92,103.91
"GMX-8657-9867-6013","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,7.06,103.05
"GMX-2436-7563-7245","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,6.72,102.71
"GX-S0KE4SX0R4","discount_code","percentage","product",-23.98,0,0,1,119.98,0,96,0,6.1,102.1
"GMX-3099-6986-6275","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,5.86,101.85
"GMX-7598-9379-8828","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,5.76,101.75
"GMX-5730-0128-3407","discount_code","percentage","product",-23.99,0,0,1,119.98,0,95.99,0,5.76,101.75
