"Page path","Percent of page loads","Page loads","LCP P75","LCP distribution"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9hbWJhc3NhZG9yLWFwcGxpY2F0aW9u/",0,1,10252,"[1,0,0,1]"
"/blogs/hiking-outdoor/how-to-make-your-shoes-more-comfortable-with-superfeet-insoles",0,8,1180,"[3,3,0,0]"
"/blogs/foot-health-podiatry/hammer-toes-explained",0,1,2676,"[1,0,1,0]"
"/pages/ccpa-privacy-policy",0,4,1398,"[3,3,0,0]"
"/pages/b2b-personalized-fit",0,2,1431,"[2,2,0,0]"
"/blogs/foot-health-podiatry/how-to-prevent-and-treat-pain-from-high-arch-feet",0,2,0,"[0,0,0,0]"
"/en-us/insoles-and-sandals/black",0,3,1292,"[1,1,0,0]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9ibG9nLzEwLW9mLXRoZS1iZXN0LXJ1bm5pbmctc29uZ3Mtb2YtYWxsLXRpbWU%2C/",0,1,798,"[1,1,0,0]"
"/en-us/adapt-run-max-insoles",0,1,0,"[0,0,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9ibG9nLzMtc21hbGwtdG93bi1lc2NhcGVzLW5lYXItbmV3LXlvcmstY2l0eS10aGF0LWFyZS1wZXJmZWN0LWZvci1yb2FkLXJ1bm5pbmc%2C/",0,1,8979,"[1,0,0,1]"
"/en-eu/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1ldS9uYXRpb25hbC1wYXJrcy9vbHltcGljL3dlZWtlbmQtZ3VpZGU%2C/",0,1,5078,"[1,0,0,1]"
"/en-us/news/running-motivation-how-to-love-running",0,1,9268,"[1,0,0,1]"
"/en-au/pages/national-parks",0,1,3264,"[1,0,1,0]"
"/pages/u-s-shipping-policy",0,11,1047,"[8,7,0,1]"
"/en-us/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi11cy9ibG9nL3RoZS0xMC1iZXN0LWhpa2VzLWZvci13aW50ZXItc3Rvcm0td2F0Y2hpbmc%2C/",0,1,1756,"[1,1,0,0]"
"/policies/shipping-policy",0,14,607,"[5,5,0,0]"
"/blogs/hiking-outdoor/exploring-yellowstone-national-park-in-winter",0,1,408,"[1,1,0,0]"
"/blogs/company-news/introducing-new-superfeet-product-names-and-packaging",0,24,925,"[13,13,0,0]"
"/blogs/foot-health-podiatry/strengthen-chronic-ankle-instability-with-superfeet-insoles",0,5,984,"[3,3,0,0]"
"/en-eu/insoles-and-sandals",0,1,3140,"[1,0,1,0]"
"/pages/international-distributors",0,9,6896,"[7,4,0,3]"
"/blogs/foot-health-podiatry/tarsal-tunnel-syndrome-find-relief-with-superfeet-insoles",0,6,376,"[1,1,0,0]"
"/blogs/company-news/celebrating-international-womens-day",0,1,3612,"[1,0,1,0]"
"/blogs/foot-health-podiatry/work-on-your-feet-discover-the-best-insoles-for-long-shifts",0,2,1172,"[1,1,0,0]"
"/blogs/company-news/superfeet-celebrates-new-direction",0,1,212,"[1,1,0,0]"
"/blogs/hiking-outdoor/heres-how-i-prepared-for-the-r2r2r-before-and-after-experience",0,5,1436,"[1,1,0,0]"
"/en-ca/customer/account/login/referer/aHR0cHM6Ly93d3cuc3VwZXJmZWV0LmNvbS9lbi1jYS9xci1jYXN1YWw%2C/",0,1,1114,"[1,1,0,0]"
"/blogs/national-parks/backpacking-in-olympic-national-park-an-insider-s-guide",0,14,1580,"[1,1,0,0]"
